,trip_id,time,rel_dist,route_id,direction_id,shape_id,geometry
3988,B20171105WKD_050000_J..N12R,09:00:00,0.6869227237423321,J,0.0,J..N12R,POINT (-73.87263888702303 40.68990295497068)
3989,B20171105WKD_050050_B..S45R,09:00:00,0.4290145941835499,B,1.0,B..S45R,POINT (-73.98010144427943 40.76220491518706)
3991,B20171105WKD_050100_A..N54R,09:00:00,0.4884793004958503,A,0.0,A..N54R,POINT (-74.00112992454717 40.70368379031742)
3992,B20171105WKD_050100_C..S04R,09:00:00,0.5259748420724463,C,1.0,C..S04R,POINT (-74.00220598121741 40.70506748989752)
3993,B20171105WKD_050100_D..S14R,09:00:00,0.4826575259731381,D,1.0,D..S14R,POINT (-73.99296435295363 40.74268124934049)
3994,B20171105WKD_050100_F..N68R,09:00:00,0.3978935446925762,F,0.0,F..N68R,POINT (-73.99902856704669 40.73435267578559)
3995,B20171105WKD_050150_B..N46R,09:00:00,0.6387945654267084,B,0.0,B..N46R,POINT (-73.99459409130591 40.74044444788296)
3996,B20171105WKD_050150_D..N07R,09:00:00,0.38695207508457674,D,0.0,D..N07R,POINT (-73.98771035238781 40.70228469264398)
3997,B20171105WKD_050150_F..S68R,09:00:00,0.4855257957349323,F,1.0,F..S68R,POINT (-73.96730669300668 40.76513192068788)
4003,B20171105WKD_050250_E..S71R,09:00:00,0.7405364594980136,E,1.0,E..S71R,POINT (-73.97685351954503 40.76085445767602)
4004,B20171105WKD_050250_L..N01R,09:00:00,0.9656891385932261,L,0.0,L..N01R,POINT (-73.99721460971612 40.73751570872354)
4007,B20171105WKD_050400_E..N66R,09:00:00,0.7204091391690146,E,0.0,E..N66R,POINT (-73.86469070481961 40.73097792427222)
4008,B20171105WKD_050400_R..N93R,09:00:00,0.3559426907327936,R,0.0,R..N93R,POINT (-74.01234552280758 40.70117642862488)
4009,B20171105WKD_050450_C..N04R,09:00:00,0.5201113342426348,C,0.0,C..N04R,POINT (-74.00812305269213 40.71469803624241)
4011,B20171105WKD_050500_J..N12R,09:00:00,0.5993869006353625,J,0.0,J..N12R,POINT (-73.88541325689879 40.67970036740731)
4014,B20171105WKD_050600_A..N55R,09:00:00,0.3599419765888715,A,0.0,A..N55R,POINT (-73.87917850913273 40.67435670628314)
4015,B20171105WKD_050600_A..N55R,10:00:00,0.9686082537692734,A,0.0,A..N55R,POINT (-73.93372647936536 40.85960688899155)
4016,B20171105WKD_050600_L..S01R,09:00:00,0.9706201846690421,L,1.0,L..S01R,POINT (-73.89927443684773 40.65092103105947)
4018,B20171105WKD_050650_E..S71R,09:00:00,0.6914231160942963,E,1.0,E..S71R,POINT (-73.96476490172287 40.75574137584525)
4019,B20171105WKD_050700_F..N69R,09:00:00,0.3013135749359703,F,0.0,F..N69R,POINT (-73.99179909808623 40.68475998289192)
4020,B20171105WKD_050700_F..N69R,10:00:00,0.9498312060414525,F,0.0,F..N69R,POINT (-73.80568640761857 40.70689124226097)
4021,B20171105WKD_050700_F..S69R,09:00:00,0.4004991379218434,F,1.0,F..S69R,POINT (-73.94734005100074 40.75651364828927)
4022,B20171105WKD_050700_F..S69R,10:00:00,0.9479825023293339,F,1.0,F..S69R,POINT (-73.97386957036552 40.59242447233492)
4023,B20171105WKD_050750_J..S12R,09:00:00,0.604259744972054,J,1.0,J..S12R,POINT (-73.92924065166855 40.69358293270695)
4030,B20171105WKD_050850_D..S14R,09:00:00,0.41388605268322826,D,1.0,D..S14R,POINT (-73.98363497226384 40.76370445711554)
4031,B20171105WKD_050850_E..N70R,09:00:00,0.6383434053533206,E,0.0,E..N70R,POINT (-73.89693578402708 40.74902394331439)
4033,B20171105WKD_050900_L..N01R,09:00:00,0.7765565485353927,L,0.0,L..N01R,POINT (-73.96805386949525 40.72426598311646)
4034,B20171105WKD_050900_L..S01R,09:00:00,0.8883157848277957,L,1.0,L..S01R,POINT (-73.90062102604169 40.66422787804571)
4037,B20171105WKD_050950_D..N07R,09:00:00,0.2972700929620589,D,0.0,D..N07R,POINT (-73.98727782713178 40.67207530953873)
4038,B20171105WKD_050950_D..N07R,10:00:00,0.969746847025197,D,0.0,D..N07R,POINT (-73.88804863338413 40.87209234007599)
4040,B20171105WKD_051000_B..S45R,09:00:00,0.33130518966046363,B,1.0,B..S45R,POINT (-73.96568174158756 40.79029326257663)
4041,B20171105WKD_051000_F..N68R,09:00:00,0.30211891692819864,F,0.0,F..N68R,POINT (-73.98774071246636 40.70751910999849)
4042,B20171105WKD_051000_F..N68R,10:00:00,0.9945809798364194,F,0.0,F..N68R,POINT (-73.78602849197364 40.71216035828948)
